id,"Your answer: Republican/Democrat. Type: ""r"" or ""d""",Tweet text
21863537,r,More California money flooding in for MJ Hegar.  That is on top of the $15 million NY Senator Schumer has bankrolled.  They will soon learn that a Texas Senate seat is not for sale. #NotOnMyWatch
20995861,d,No better way to celebrate #ConstitutionDay then by watching this series with @FedSoc reading the entire United States Constitution line by line.
21762771,d,"Team, we set a goal of $150K for @mjhegar yesterday. Response was so good @brianschatz and I upped it to $250K.

Final tally: $292,158 from 8,605 donors. As my 8 year old would say, awesome sauce. We are closer to winning Texas bc of what you did yesterday."
22122184,d,"For Alaskans, earthquakes are a part of life. But the destruction caused by the magnitude 7.1 earthquake that took place in Alaska in November of 2018 was a stark reminder that our efforts to improve earthquake research, monitoring, & real-time date in the state are imperative."
21773973,r,Congratulations to President @realDonaldTrump on fulfilling his promise to this important ally and to @SecBrouillette for securing this agreement which will benefit both the United States and Poland for decades to come. ?? ??
21910306,r,"Earlier this week I had the privilege to introduce a resolution condemning #China slave labor in #Tibet, yet another example of China’s religious oppression and slave economy - which Beijing wants to export to the world"
21396687,r,"""The Lord is my light and my salvation; whom shall I fear? The Lord is the strength of my life; of whom shall I be afraid?"" 
-Psalm 27:1"
21187678,d,President Trump has repeatedly said his Supreme Court nominees would vote to overturn Roe v. Wade. Now he says he will nominate a Supreme Court justice who could be the deciding vote on cases involving women’s health and access to abortion.
21426500,r,"Tomorrow I’m joining former Iceland President and current @_Arctic_Circle Chairman @ORGrimsson for a discussion on the #Arctic, including the impact of past, current, and future U.S. policies on the region, and the need for America to be engaged in this rapidly evolving region."
20827284,r,Glad to join virtual ribbon cutting for the new VA clinic in Cedar Rapids The old clinic was damaged by the derecho + this is gr8 news for veterans who will now b able to get more services close to home Veterans have earned world-class health care
20865353,d,The U.S. is already in a strong position in one realm that will be essential for the energy transition—scientific research and the development of new energy technologies.
21016974,r,IA farmers on Monday can apply for next round of coronavirus related losses at USDA & now includes turkey producers for 1st time something Ernst & I hv been asking for Thx @realdonaldtrump for recognizing the critical role farmers play in feeding/fueling the world
21354991,r,Nancy and I are wishing the President and First Lady a speedy recovery. This virus is far from gone. Please continue to follow proper medical guidelines to keep you and your loved ones safe.
21793552,d,Coloradans can learn more about how to plan and prepare to stay safe from wildfires from @FEMA’s @Readygov below. ⬇
21622817,d,"If you are pissed off at what Senate Republicans are doing on TV today, then we have one recourse - WIN THE SENATE. 

And we can’t win the Senate without Minnesota and NH. Can you make a donation now to help re-elect these two amazing women? It will feel good."
21666704,r,"The article in the New York Times, like its companion piece in the Washington Post, is one long dog whistle."
20792902,d,"The #RADx initiative, which @SenAlexander & I worked together to fund, has been instrumental in developing #COVID19 testing technologies. Researchers have been working around the clock to expedite the innovation of an effective test that quickly delivers accurate results"
21529586,d,"The World Food Program last year provided assistance to nearly 100 million people in 88 countries. Thank you to all the heroic & brave @WFP staff on the frontlines, and thanks to @WFPChief Director Beasley for your leadership in fighting for #ZeroHunger and a more peaceful world."
20974286,r,"There is plenty of evidence of @NicolasMaduro’s human rights violations & corruption. Yet the @UN has allowed this pariah to have a seat on the Human Rights Council.

The US & the International Community are not fooled by the regime’s theatrics. It’s time for the UN to catch up."
22129911,d,"Aunque es doloroso cuando nuestros seres queridos fallecen, nunca nos dejan verdaderamente, viven en nuestros corazones y pensamientos siempre. Deseándoles a todos celebraciones felices hoy en el Día De Muertos."
21146039,d,"By insisting that political hacks approve it and not scientists, President Trump is just endangering more lives.

We need a safe and proven vaccine.

Not an “it is what it is” vaccine."
21252557,d,"When Justice Ginsburg passed away, not only did we lose a giant from the Court, but from American life. Few people in our history have done more to change more lives than she did as a lawyer, an advocate, and a Supreme Court Justice.

She was an inspiration for each of us."
22065209,r,I’m pleased our report paved the way for the Trump administration’s action today & I’ll continue to work on bipartisan legislation to ensure necessary reforms in the art industry as well as working with federal agencies to make sure U.S. sanctions are effective.
20794270,d,"The Senate Republican COVID package is insulting to the Americans who have been waiting for months for relief. The extent of the misery is unimaginable & McConnell responds by designing a bill so intentionally weak & insufficient that it’s destined to fail.

It’s a game to them."
21773858,d,"The @USOCC's decision to gut the Community Reinvestment Act will hurt working families and communities of color who need access to loans.

Instead of protecting the CRA, Senate Republicans are ramming through a Supreme Court nom. Where are their priorities? We must #SaveCRA."
21456153,r,Gov Reynolds ranked 2nd behind only small state of New Hampshire for conservative fiscal responsibility Meaning Iowa balances its budget & operates on a surplus under Reynolds/GOP legislature Just like Iowa families hv to balance their checkbook each wk Iowa balances theirs too
22031270,r,More good news from the @FCC on opening up critical spectrum in the 5.9 GHz band. Thanks @AjitPaiFCC for your continued leadership!
20869801,r,Less than a month after the historic agreement between UAE and Israel @realdonaldtrump pulled off a deal for Bahrain and Israel to normalize relations. Progress on Middle East Peace accelerating
21756584,r,"Senate Majority Leader MITCH MCCONNELL is going to tee up votes Tuesday on the Paycheck Protection Program and Wednesday on the rest of a $500-billion stimulus bill. Democrats are expected to block this, and it will almost certainly fail. @playbookplus #sad"
20942656,d,"Rick, you and Katherine inspired me to introduce Katherine’s Lung Cancer Screening Bill. Katherine wanted to spare countless others from having to endure her painful journey because they couldn’t get access to early screening. I won't rest until it is done."
20752032,d,"If you or someone you know needs help, call the National Suicide Prevention Lifeline at 1-800-273-8255. We’ll get through these difficult times together."
20798234,d,This is part of the ATC’s master plan and will serve as a central hub for @CBP to develop all of their training curriculum and will house as many as 70 new instructors.
21800892,r,"Americans need help now. Rather than delaying with procedural tactics & insisting on an all or nothing partisan wish list, I hope my Dem colleagues will work with us to get help to hurting Americans as soon as possible."
21956514,d,"Trump’s Supreme Court picks will do what it takes to help the Republicans make voting as difficult, confusing, and scary as possible. That’s why the American people need to stand up and vote like never before."
21952688,d,The weeks we should have dedicated to negotiating a real economic relief package have instead been spent rushing through the confirmation of a Supreme Court Justice. The hypocrisy of my Republican colleagues is stunning.
21213608,d,"My Republican colleagues should honor their own precedent - the McConnell Rule - & ensure the American people have their say at the ballot box before the Senate considers a lifetime Supreme Court appointment that'll determine the future of quality, affordable health care access."
21130113,d,"Hey @brianschatz @CoryBooker et al - final total raised last night for @GreenfieldIowa...

$127,000!! Great job, team. 

That money will make a difference. Especially w the voter reg deadline still weeks away and A LOT of people with a new reason to vote now."
20826814,d,"Had today’s motion passed, the Senate would have been able to move forward with legislation to provide:

➡️ An extension to the additional federal unemployment benefit for jobless workers.
 
➡️ A second round of funding for #PPP."
21251494,r,"“A friend, a neighbor, a mom, who could soon serve on the highest court in the land” - @3rdHourTODAY."
20676891,d,"We’re 7 months into this crisis and the Trump Administration doesn’t have a national, comprehensive COVID-19 testing and contact tracing plan. This lack of leadership is hurting our nation’s COVID-19 response."
21027603,d,"As a young mom heading off to Rutgers law school, I saw so few examples of female lawyers or law professors. But Ruthie blazed the trail. I’m forever grateful for her example — to me, and to millions of young women who saw her as a role model."
21210052,d,Happy #NationalPublicLandsDay! Today the @NatlParkService will provide free admission to National Parks across the country so you can #FindYourPark and enjoy the #GreatOutdoors. Learn more here⬇️
22063663,r,"As Teddy Roosevelt would note, our nation succeeds if we treat our natural resources as assets we must give to the next generation in better shape than how we found them.

President @realDonaldTrump is carrying on that conservationist spirit."
21867794,d,"All children deserve access to clean drinking water. Yet only 26% of Head Start centers have tested their drinking water for lead contamination.
 
I joined @SenDuckworth and @PattyMurray in urging @EPA to do better for our kids."
22078034,r,That’s why I introduced a bill last year to prohibit abortion based on a Down syndrome diagnosis. The Down Syndrome Discrimination by Abortion Prohibition Act would prohibit a doctor from performing an abortion being sought because the unborn child has Down syndrome
21540386,r,"I love South Carolina. It is my home. It is the best place in the world to raise a family and run a business. As long as I am your senator, I'll keep it that way."
21578311,r,"This upcoming week, it’s important to remember the appropriate role of judges. They are not policy makers – they are fair and neutral interpreters of the Constitution and laws drafted by Congress."
20916564,d,"What I told @Leafly about why I’m fighting for the Marijuana Freedom and Opportunity Act:

✔️ It ends federal prohibition.
✔️ It addresses much-needed criminal justice reforms.
✔️ It provides opportunities for minority- and women-owned small businesses."
22054485,d,"Appalling. A top @Interior official mocks #metoo, says Black Lives Matter is “racist,” defends shooting protestors, and cited a white supremacist website. The same DOI still employs William Perry Pendley, who has racist views toward Native Americans. This bigotry has to go."
21653545,r,Biden campaign doesn’t deny veracity of Biden emails as reported by @nypost. But @Facebook @Twitter continue the censorship campaign
21214526,r,"This is a big moment for religious conservatives. For years we’ve been told to take a back seat in #SCOTUS nominations, but not any longer. @realDonaldTrump has chosen a nominee in #AmyConeyBarrett who religious conservatives can call one of their own"
21313160,d,"BREAKING ? The GOP today blocked passage of Temporary Protected Status for approx. 200,000 Venezuelans in the U.S. who are at risk of being deported back to Venezuela, where they would face a humanitarian crisis and Maduro’s crimes against humanity. #VenezuelaTPS"
21711261,d,"I'm fighting for Gemma and children just like her across the country. Every child deserves to have access to the health care they need to be able to live, thrive, and be successful going forward. #WhatsAtStake"
21577935,d,"The American people deserve transparency into the health of our “Too Big to Fail” banks. And they deserve a real COVID-19 relief bill to help struggling families and small businesses, and stabilize our economy to prevent another Wall Street crash and taxpayer bailout."
21359225,r,"Connected with the Indianapolis chapter of the @FedSoc to discuss #SCOTUS nominee and fellow Hoosier, Judge Amy Coney Barrett and my JUDGES bill which creates judgeships in districts with judicial emergencies."
21955898,d,"For decades, Republicans have gamed the system in bad faith to pack the courts with far-right ideologues who will do their dirty work for them. We must consider any solution that can undo this damage and ensure that all Americans are guaranteed equal protection under the law."
20845897,r,"19 years have passed since the horrifying attacks on America on 9/11, yet the memory is still fresh for so many of us whom history touched that day. With the rest of the nation, I mourn the lives lost in that attack & in the ensuing years, & I send my thoughts to their loved ones"
21165962,r,"?LIVE TV ALERT!

Looking forward to joining @cvpayne on @FoxBusiness at 2:15PM to discuss the latest in the Senate regarding the SCOTUS confirmation and Florida’s role in the 2020 election. Tune in!"
22126590,r,"I have many special memories of Barry, in particular our times together on the “Pat and Dan Show,” where he moderated lively discussions between former Congressman Dan Glickman, our state agriculture groups and myself."
20933462,d,"In 2016, 36% of all federal employees were POC & only 35.5% were women—those numbers don’t reflect the US as a whole. We need a workforce that comes from different backgrounds and experiences representing their communities and creating solutions to issues that they know best."
21040572,d,"200,000 Americans are now dead because we have an incompetent chief executive who cares about no one except himself. 

Yes, this election just got more complicated, but this isn't complicated - 

if Trump wins, another 200,000 die."
21143152,r,"Gale Sayers - the 'Kansas Comet' - leaves a formidable legacy behind with his recent passing. He was a remarkable athlete, a man of character and a fine representative of Kansas. May he Rest in Peace."
21170712,d,You guys if we finish this strong that’s ONE WEEK OF TV FOR MIKE ESPY. Let’s go!!! Thanks. Booker keep charming everyone you’re doing great.
22003720,r,"Congrats @USAmbFriedman & @realdonaldtrump on moving to allow diverse investment in economic development in the West Bank. This brings Israelis, Palestinians & others together, allowing them to engage in business & forge relationships that are essential to bringing lasting peace."
20889070,d,"I like it. And Bullock’s great on health care. As Governor, he got Republicans in Montana to agree to Medicaid expansion - got 90,000 new people covered. 

Hold a minute for the link and ambitious goal."
21145912,d,"I know so many of us are angry & heartbroken over this. Black lives *do* matter. 
 
We must use our power at the ballot box, because the Attorney General who declared today that the shooting of Breonna Taylor was a justified use of deadly force derives his power FROM VOTERS."
21578313,r,"We need to focus on Judge Amy Coney Barrett’s qualifications
 and her understanding of the limited role of a judge under our Constitution – not on criticizing her religion or trying to pack the Court with more Justices who will turn it into a second legislative body."
20971399,r,"Congratulations, Prime Minister Suga Yoshihide @sugawitter. We look forward to working together and continuing to maintain a strong people-to-people, economic, and military relationship with Japan."
21945870,d,"Instead of doing what we should be doing, which is negotiating a final COVID-19 relief package for the American people, the Senate Majority is racing ahead with a Supreme Court confirmation. #WhatsAtStake"
21342012,d,"#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events, lead to greater international cooperation on preventing trash from reaching the oceans, and spark innovation to manage and possibly even reuse plastic waste."
21533870,r,"Appears @harrisonjaime is skipping tonights debate.  

Mr. Harrision is ducking the debate because the more we know about his radical policies, the less likely he is to win. It's not about medicine, its politics.

His liberal views are a loser in South Carolina - and he knows it!"
21144408,d,"Protections for patients w/ pre-ex conditions.
Medicaid expansion.
Caps on patients’ out-of-pocket costs.

All of this & more could be ripped away if Pres. Trump nominates another anti-health care justice to the Supreme Court & Republicans win their partisan health care lawsuit."
21951118,d,Sen Ernst &I talked to top officials at Dept of health& human services abt 340b program Rural providers rely on these drug discounts &there’s concern abt drug companies cutting back discounts esp during pandemic Iowa Hospitals r very concerned bc they use $$ 2serve low income ppl
21330869,d,"When Republicans tell you this week that #RoeVWade won’t be overturned by the Supreme Court, know they're doing everything they can to confirm justices who will overturn Roe v. Wade & gut health care protections. Get very worried—and get loud."
20971719,r,"For years, I've fought alongside & spoken with countless Oklahomans about their strong objections to the Obama-era WOTUS rule, & I'm pleased action is finally being taken. Deeply grateful to @POTUS & @EPAAWheeler for their commitment to rectifying this important regulatory issue."
21234624,d,"UPDATE: We are at around 270k  so we only need 40 more 750 dollar donations or 400 more 75 dollar donations or 4,000 more 7.5 dollar donations however you guys wanna do this."
21857815,r,"Judge Barrett is one step away from the Supreme Court.

I enjoyed meeting w/ her yesterday & look forward to voting for her confirmation on the floor soon!"
21672506,d,Your daily reminder to request a mail-in ballot. There are only 15 days left to request one in Illinois!
21141943,d,We also secured an important victory to improve accountability for farmers by banning the Trump Administration’s plan to use agriculture funds to bail out oil companies.
20774320,r,"More proof of Mississippi’s capabilities to provide for our national defense. @NavistarDefense invests $8M & adds 500 jobs @ West Point, highlighting MS as a key defense industry player. Kudos to @mdaworks, @gtr_link, Clay Co., City of West Point & @TVAnews on this major success!"
21422742,d,"It’s expensive for a pharmaceutical company to bring a new drug to market, and our system needs to encourage research and development. This pandemic is a reminder of the need for innovation."
21980324,d,"Natural infrastructure is a smart, effective way to protect communities from symptoms of the climate crisis—but we also need to address root causes.

If we don't dramatically reduce carbon emissions, the damage we're seeing now will pale in comparison to the devastation ahead."
21254833,d,Encouraged by this significant contribution to @ANHC and other organizations that will help Alaska Native & other impacted minority communities recover from the #COVID19 pandemic and have the support they need to promote and maintain arts and cultural heritage programs.
21865662,r,"Honored to be designated a @nfib ""Guardian of Small Business."" Small business owners and those they employ have my admiration and solid support, especially as we work to overcome the #COVID19 pandemic. @nfib_ms"
21214623,r,"Regardless of the nominee, I believe there aren’t different sets of rules for Democrats and Republicans, and we must follow McConnell’s precedent: giving the American people a voice in this selection by filling the vacancy when the next President is sworn in, no matter who it is."
21137736,r,"Our bill is a comprehensive approach to addressing veterans’ mental health needs.

I applaud Chairman @JerryMoran for his leadership and my House colleagues for offering their support.

I look forward to @POTUS signing another meaningful piece of legislation for our veterans."
21308331,r,"I plan to work with regional leaders in business, labor, and education on workforce training programs in composite design optimization and composite fault diagnosis that will produce true cost savings in any aircraft production, including the next plane. (4/6)"
20959596,d,"Since the beginning of this crisis, President Trump has been spreading inaccuracies & outright lies, and recklessly interfering with the work of our public health agencies for political benefit—showing a dangerous disregard for truth, facts, science, & people's lives."
21478322,r,"From @US_EDA funding infrastructure improvements in Altus and supporting renovations at the Woodward Industrial Airpark to @USDOT supporting upgrades to the Route 66 Bridgeport Bridge and funding the Kiamichi Tri-State Freight Rail Improvement Project, Oklahomans benefit."
20992243,d,Canceling student loan debt will provide immediate relief to millions struggling during this pandemic. It will increase Black & Latinx families’ wealth & help close the racial wealth gap. And it will deliver a much-needed boost to our economy. #CancelStudentDebt
20712799,d,"Quality broadband is critical to students completing their coursework & patients communicating with their doctors. Sadly, too many communities still lack access to reliable connections. I spoke with @lcouncilswil about investing in broadband to finally close the digital divide."
21638155,r,Keep doing that and soon the Supreme Court will be as unpopular as Congress—which may be their real goal as they prepare the ground to pack the Court next year.
22034387,d,"As many Oklahomans wait for their power to be restored, I wanted to take a moment to say thank you to all of our neighbors who have stepped up to help us during this ice storm. We appreciate all of your help & we’re always grateful for neighbors helping neighbors."
20831873,r,"Judge Pam Reeves had a lengthy and distinguished career as a lawyer and most recently as Chief Judge of the Eastern District of Tennessee. Her diligence and fairness as a lawyer and judge set an example for others, especially for women in the legal profession."
20763405,r,Worth the read. Learn more about how the Trump @EPA has prioritized Superfund cleanup sites like Minden. ⬇️
21421602,r,"The VA Caregiver Support Program has been a lifeline to caregivers of post-9/11 veterans. I co-authored the law extending eligibility to caregivers of veterans of all eras, & now the first phase of that expansion—veterans injured in the line of duty before May 7, 1975—is open."
20776338,d,California is experiencing some of the worst wildfires in American history. These devastating fires are becoming more and more common as a result of climate change. Joe Biden and Democrats in Congress will act immediately to reverse the disastrous effects of climate change. VOTE.
21168909,d,"There are any number of reasons many talented people, particularly women, leave their careers for a period of time. @SenJackyRosen and I have a bill to aid reentry into the workforce for underrepresented individuals with #STEM related skills. Read more here:"
20932760,d,"For months, we’ve called on the administration to end MFAR, a policy that would have led to across the board cuts to Medicaid and undermined vital care for kids and families during the pandemic.
 
I'm glad to see @SeemaCMS is heeding our call and withdrawing the policy."
20915250,r,My thoughts are with those who’ve lost loved ones as a result of the wildfires throughout the country.
20965481,r,"Bonnie and I are saddened to hear of the passing of our good friend @BretBaier’s father. Bret is a consummate professional, and we wish him and his family well during this difficult time. #GAsen #GApol"
21804825,d,My god. Get this moral abomination of a human being out of the Oval Office. He orphaned 545 kids just for kicks. Sick.
20935424,d,The White House’s proposed expansion of the #GlobalGagRule – in the midst of a pandemic wreaking havoc on vulnerable populations and health services – is another example of this Administration’s disregard for women’s health.
21303952,d,"What's at stake? Take a look for yourself⬇️
 
❌#Medicaid expansion would be repealed for hundreds of thousands of low-income Nevadans
❌#Medicare recipients would face higher prescription drug costs
❌Insurers could once again impose annual & lifetime limits on coverage"
20823634,d,Pres. Trump’s inexplicable deference to Putin demands that Congress proactively shape US foreign policy toward Russia—especially with respect to sanctions. Incredible that we have reached this point—but we actually need laws that force POTUS to protect American lives & interests.
21867100,r,"As a combat veteran myself, I understand the challenges our servicemembers face after returning home. On a call with Iowa VFW, I discussed my ongoing efforts to ensure our veterans have the support they need to overcome mental health challenges."
21705737,d,Republicans in Congress have tried to repeal the #ACA over 70 times. Americans have made it clear that they don’t support repeal. So Republicans have resorted to far-fetched arguments in the courts and jamming through an unfit #SCOTUS nominee to dismantle the law.
21513500,r,"I applaud the Administration for recognizing the threat Iran poses and taking swift action.

Iran's responsible for much of the destruction in the Middle East & supports terrorism around the world. It is about time all of Iran’s financial sector be cut off."
21451169,r,"This project will create and retain jobs, increase productivity and encourage further growth in a designated #OpportunityZone.

I’m proud to have supported this request and appreciate @US_EDA recognizing the value of #infrastructure improvement."
21192154,d,"RBG dedicated her life to ensuring the promise of the Constitution applies to us all – that #WeThePeople truly means ALL of us, regardless of gender, race, religion, or who we love. There's only 1 #RBG, but each of us can use our voice to speak up for justice & equality for all."
21002383,d,"Joe Biden is doing extraordinarily well in this town hall. Yes, he has command of the issues. Yes, is more energetic and ten times smarter than Trump. But man, this guy has a heart the size of the whole country."
20831993,d,Climate change poses an immediate risk to the future of our planet. The proof is right in front of us; we have to take action that meets this moment's needs.
21823246,d,"We can honor George Floyd, Breonna Taylor, Ahmaud Arbery—and countless Black Americans whose lives have senselessly been cut short—and vote to build a more just America for all. 
 
Only 9 days left to request a mail-in ballot, Illinois."
21143643,d,Proud to support the CARES Act that included over $19.8 million in federal funding to support organizations like @NCYMCAAlliance who are offering remote learning support sites to provide a safe and healthy place for children to learn during the COVID-19 pandemic.
20988699,d,"So today, we’ve got a piece of legislation that would finish the job. It has broad bipartisan support and is based on recommendations that four of today’s witnesses gave us nearly seven years ago."
21747643,r,"There is no reason why any country should sell arms to Iran. 

Iran is a leading sponsor of terror around the world. No one should be providing them with the tools to continue doing so, and any that do are supporting terrorism."
20695664,r,"Today @FMCSA announced the Under-21 Commercial Driver Pilot Program, modeled after the DRIVE-Safe Act I’m cosponsoring in the Senate. Our nation is experiencing a critical shortage of truck drivers & this program will provide needed flexibility for our drivers."
21981180,d,"I’m proud to announce that @SPSR6 is receiving over $1 million in grant funding to build a community safe room. This project has been a top priority for the community, and I’m glad they’ll have the funding they need to build this life-saving facility."
20678787,d,"The polls may show @JoeBiden in the lead now, but don't get complacent for one second. We need to keep fighting until every last vote is counted in November."
22036096,d,"21st Century Community Learning Centers have provided high-quality educational programming for over 20 years, inspiring students of all ages to learn, grow, and succeed. #COVID19 has been a major adjustment for everyone, but particularly for our students, teachers, and parents."
21359578,d,This is a lifetime appointment for a job that is accountable to virtually no one. Americans deserve a voice in this hugely consequential decision & a confirmation process that provides proper time to conduct Congress’ constitutionally-mandated review of the nominee’s full record.
21486499,r,"Same playbook every time - delay and stall. Democrats are choosing to play politics over fulfilling their constitutional duty.

But Republicans will continue moving forward with the confirmation of @realDonaldTrump’s SCOTUS nominee."
20743965,d,"This #LaborDay, amid the #COVID19 crisis, it's clearer than ever we must stand up for workers, including the frontline workers who show up every day to keep our families safe and healthy, and keep our country moving forward. Now more than ever, Congress needs to have their back."
21593732,r,"Twenty years ago, terrorists attacked the USS Cole in port, killing 17 sailors and injuring 37 others. Today the @USNavy will pause to remember those who were tragically lost, pay tribute to the heroic actions of the crew, and reflect on their proud legacy."
21401033,d,"It's hard to get your head around how damaging the White House's recklessness has been. Even if NJ doesn't find a ton of positive people, it will cost money and manpower to track down 206 people. Money that NJ doesn't have."
21111689,d,"There are 42 days until the election. The Senate has never confirmed a Supreme Court nominee this close to a presidential election.

The next president should choose the next Supreme Court Justice."
21255063,r,"In 2017, Judge Amy Coney Barrett was confirmed as a United States Circuit Judge for the Seventh Circuit with a bipartisan vote. I was proud to support her nomination then, and I’m proud to support her nomination to the nations’ highest court! #GAsen #gapol #SCOTUS"
20855344,r,"This agreement sets the Middle East on a new course of cooperation and economic integration.

Well done President @realDonaldTrump and his team."
21750119,d,"The Supreme Court case Griswold v. Connecticut established the right to privacy, paving the way for other decisions on reproductive rights, marriage equality, and more. 

Even other conservative Justices – Roberts, Alito, and Kavanaugh – were willing to say Griswold was right."
21168498,d,Today Nebraska lost one of its finest citizens. Judge Laurie Smith Camp was a friend and a well-respected jurist. I appreciated her counsel on the 3 vacancies on Nebraska’s federal courts we worked to fill. I am saddened by her passing & send my deepest condolences to her family.
21720309,d,"Joe Biden - and all of us - SHOULD be furious that media outlets are spreading what is very likely Russian propaganda.

1/ I’ve seen the intel. The mainstreaming of misinformation is Russia’s 2020 goal. Here’s what we know, and why we can’t take it lying down."
21482893,r,"In our nation’s capital, mass protests are allowed, but church gatherings over 100 people are not. I joined @SenatorWicker legal brief arguing DC’s discrimination against houses of worship violates the 1st Amendment #ReligiousFreedom rights of @chbcdc worshipers."
21185336,r,"It is shocking—but not surprising—that the source for the Steele dossier and basis for the investigation into President Trump was a known Russian agent, yet partisan FBI agents, handpicked by Comey, decided not to disclose this to the FISA Court. They must be held accountable."
21015871,d,"Trump’s rollbacks are set to release an additional 1.8 billion metric tons of greenhouse gases into the atmosphere by 2035—more than the 2018 emissions of Germany, the U.K. and Canada combined.

This is an abdication of American leadership."
20943446,r,"Thank you to @realDonaldTrump for quickly approving Florida’s request for an emergency declaration due to Hurricane #Sally.

As Florida’s Panhandle braces for landfall, we must make sure that we are ready to respond with all the resources necessary following the storm."
21801976,d,"Months ago, @senatemajldr said #COVID19 relief wasn’t urgent. Now, he’s blatantly and cynically standing in the way of a deal on #COVID19 relief until after Election Day— but people's health & well-being can't wait on his political posturing."
20870462,r,"The IOC can do the right thing by moving the 2022 Games out of Beijing.

We should not give Communist China, a country that violates human rights and is perpetrating a genocide agains the Uyghurs, this platform. Read more in my @washingtonpost Op-Ed:"
20792666,r,"Some people incorrectly believe “warp speed” means cutting corners, but it refers to the extraordinary investment in research, development, and manufacturing scale-up for a COVID-19 vaccine."
21586280,d,"Here’s what’s at stake today: Republicans are jamming through a Supreme Court nominee who could rip health care away from millions in the midst of a global pandemic that has killed more than 215,000 Americans. Democrats will do all we can to delay or stop this process."
21506566,r,"On November 16, 2017 BMC Joseph Leon George was posthumously awarded the Bronze Star with Valor for his heroic actions on December 7, 1941, saving the lives of 6 USS Arizona crew members. This WWII and Korean War #veteran is a true hero and member of the Greatest Generation."
20936903,d,Looking forward to speaking to @millennialdebt tomorrow about the need to stop endless wars and reform our entitlement systems.
21657087,r,"Throughout the last 2 days she has shown both judicial temperament & a commitment to uphold the law, not her personal opinions."
20929734,d,"Why did @EPA career attorneys decide not to sign onto some of EPA's most high profile legal cases?
 
Was it because they found the cases to be legally indefensible, or was it something else? It's highly unusual.
 
I'm asking the EPA Inspector General to investigate."
20830572,d,"Just because Republicans wouldn’t agree to spend $3 trillion and give Democrats everything they demanded, unemployed workers won’t get additional federal unemployment benefits and small businesses won’t get needed financial support. What a shame."
20799744,d,"Senator McConnell didn’t even join the negotiations with Speaker Pelosi, me, and the White House

The bill he put forward now is emaciated and fails to meet Americans' needs

He isn’t searching for progress. He seems to be looking for political cover.

We must pass the HEROES Act"
21728751,d,"There should be no doubt that President Erdogan is not a fit ally for NATO. 

His actions make this clear. He has chosen to take the path of an authoritarian regime & align himself with Putin, while making Israel an enemy."
21628760,d,Senate Republicans are rushing the confirmation of Donald Trump’s SCOTUS nominee in an unseemly political process that will have ramifications for years to come. It’s past time for the Senate to live up to its name as the world’s greatest deliberative body.
21133290,d,"There’s plenty of Black talent, @WellsFargo - they just don’t have the talent for fraud and abuse you’re looking for."
21830809,r,"I voted in support of targeted #COVID19 relief to provide relief to small businesses & the hardworking Americans they employ, schools across our country and support for testing & vaccines."
21945679,r,"By a 59-41 margin, registered voters say the Senate should vote on the nomination before Election Day in a Dallas Morning News/University of Texas at Tyler poll released on Sunday."
21654495,r,"Left wing leaders are banning church services but encouraging violent rioters and protestors to flood the streets. 

That’s not how the First Amendment works, and Judge Amy Coney Barrett will protect our right to practice our faith."
21455454,d,"His bigger priority is rushing through a SCOTUS nom to take healthcare away from Americans. Families would lose health coverage during this pandemic & more than 130 million Americans with pre-existing conditions would lose vital protections, including those who contracted #COVID."
21970268,d,"Remembering the 11 innocent lives taken 2 years ago today at the Tree of Life Synagogue.

This is the United States of America—a beacon of freedom for all. No one should be killed for their religion.

We must denounce anti-Semitism in all forms, today and every day."
21396534,r,"Further evidence Democrats see SCOTUS as a third political branch, not head of an independent judiciary.  If they saw judges as empires, just calling balls and strikes, why threaten court packing, which would guarantee - as per RBG - its status as an unelected political body."
21964111,r,"Last night a working mother of 7 was confirmed by the Senate and then sworn in as an associate justice of the Supreme Court by an African American associate justice. 

What a country!"
21867863,r,VP Biden is prattling on about a “plan” that 1- sounds a lot like what we are already doing and 2- doesn’t mention opening more businesses and capacity and opening schools. #Debates2020
21939790,r,"About to join @ainsleyearhardt, @SteveDoocy, & @kilmeade to discuss the Senate’s vote tonight to #ConfirmACB and my efforts to hold Silicon Valley oligarchs accountable for suppressing free speech. Tune in!"
21577636,d,The nomination of Judge Barrett to the Supreme Court is a direct threat to the Affordable Care Act & the important protections it affords LGBTQ Americans. We must fight to protect the ACA with everything we can—far too much is at stake.
21682196,d,"Help make sure Arkansas gets counted accurately in the 2020 Census — today is the last day, so don’t wait. Make sure your friends and family #GetCounted too. Go online or call the number below."
21829440,r,"South Dakotans & all Americans continue to struggle because of the COVID-19 pandemic. The common-sense, targeted bill we tried to move forward today would have provided immediate relief to families, businesses, schools and healthcare providers at a time when they need it most."
20989263,d,Great to meet with students from @UofILSystem yesterday during their virtual visit to Washington to discuss education in the age of #COVID19 and ways the federal gov't can improve college affordability and protections for undocumented students.
21143140,d,It is rewarding to see how #opportuityzones are positively impacting underserved communities every single day.
21587047,r,Judiciary Committee about to gavel in to begin hearings for #AmyConeyBarrett - I hope Democrats today will clearly renounce their attacks on her religious faith and admit these attacks have been wrong and bigoted
